genus,gbif_doi,matm,matsd,coqtm,coqtsd,mapm,mapsd,dmpm,dmpsd
Abies,https://doi.org/10.15468/dl.0nk0vk,8.4,3.8,0.6,5.7,2.95,0.17,1.49,0.4
Acrostichum,https://doi.org/10.15468/dl.z20xhn,24.5,3,21.7,4.2,3.17,0.19,1.27,0.6
Aesculus,https://doi.org/10.15468/dl.yb959x,12.8,3.6,3.8,4.6,2.99,0.19,1.52,0.55
Alangium,https://doi.org/10.15468/dl.wgokk3,17.1,5.2,9.8,8.5,3.18,0.2,1.57,0.38
Alnus,https://doi.org/10.15468/dl.yeronk,8.1,4.5,0.4,6.3,2.93,0.18,1.54,0.36
Amaranthaceae,https://doi.org/10.15468/dl.y1crn9,16.7,6.9,10.4,8.8,2.77,0.33,1.12,0.6
Anemia,https://doi.org/10.15468/dl.fnt3vm,21.3,3.1,18.4,3.8,3.16,0.15,1.47,0.53
Anthocerotaceae,https://doi.org/10.15468/dl.eyf238,11.1,5.1,4,7,2.99,0.2,1.55,0.43
Arecaceae,https://doi.org/10.15468/dl.kevers,23.5,3.8,21,5,3.17,0.3,1.27,0.72
Asteraceae,https://doi.org/10.15468/dl.ns0e93,11.5,6.4,3.4,8.6,2.9,0.25,1.43,0.5
Avicennia,https://doi.org/10.15468/dl.phe2eb,23.8,4,20.7,5.1,3.08,0.3,1.09,0.72
Betulaceae,https://doi.org/10.15468/dl.aruoso,7,4.7,-2.7,7,2.91,0.16,1.57,0.29
Bignoniaceae,https://doi.org/10.15468/dl.jzbwrh,22.1,4.7,18.6,6.8,3.06,0.29,1.17,0.66
Bombacoideae,https://doi.org/10.15468/dl.ga5vvq,24.3,3.4,22,4.3,3.11,0.27,0.97,0.76
Carya,https://doi.org/10.15468/dl.rkhkhq,13.7,4.4,3.2,6.7,3,0.15,1.63,0.37
Castanea,https://doi.org/10.15468/dl.ooarjc,11.1,3.2,3.7,3.4,2.95,0.15,1.58,0.34
Casuarinaceae,https://doi.org/10.15468/dl.vfaue9,17.8,3.7,12,4.1,2.75,0.27,1.27,0.38
Cryptogramma,https://doi.org/10.15468/dl.kkbbu1,6.6,5.9,-1,7.2,3.1,0.2,1.67,0.33
Cupressaceae,https://doi.org/10.15468/dl.hcstys,10.4,6.7,2,8.9,2.88,0.23,1.41,0.47
Cyatheaceae,https://doi.org/10.15468/dl.rnaahg,18.7,5.2,16,6.5,3.24,0.2,1.69,0.44
Cyperaceae,https://doi.org/10.15468/dl.ll6mya,11.4,7.3,4,9.8,2.93,0.22,1.48,0.48
Cyrillaceae,https://doi.org/10.15468/dl.vdj4nb,19.7,3.1,13.1,6.1,3.19,0.12,1.84,0.17
Diospyros,https://doi.org/10.15468/dl.lpjmmp,22,4.6,18,7,3.07,0.26,1.11,0.67
Elaeagnaceae,https://doi.org/10.15468/dl.ebhrka,8.6,5.2,-1.9,7.5,2.85,0.23,1.48,0.35
Engelhardia,https://doi.org/10.15468/dl.jjf0dy,19.8,2.8,15.4,3.5,3.4,0.16,1.6,0.42
Ephedra,https://doi.org/10.15468/dl.jdtlbk,13.5,6,5,7.9,2.53,0.34,0.75,0.54
Ericaceae,https://doi.org/10.15468/dl.v0zzes,9,6.1,1.2,8.6,2.94,0.21,1.52,0.41
Eucommia,https://doi.org/10.15468/dl.eyzch7,15.7,2,5.4,2.9,3.05,0.13,1.27,0.33
Fagaceae,https://doi.org/10.15468/dl.7tkolg,11.1,4.7,2.1,6.5,2.93,0.17,1.49,0.45
Gleicheniaceae,https://doi.org/10.15468/dl.xtwwir,18.4,5.5,14.8,7,3.2,0.21,1.57,0.55
Gordonia,https://doi.org/10.15468/dl.4iimr4,19,3.9,15.5,5.1,3.21,0.14,1.65,0.37
Hamamelidaceae,https://doi.org/10.15468/dl.lpmogh,13.7,5.1,4.3,7.9,3.11,0.18,1.68,0.34
Huperzia,https://doi.org/10.15468/dl.twnvyg,5.2,5.9,-3.5,8.2,2.96,0.23,1.65,0.27
